dataset,SudokuImputer,MICE,kNN,Matrix Factorization,SoftImpute,Median,Mean
EEG,138.5962733333333,12.983153333333332,13.888713333333333,0.40747999999999995,1.4096133333333332,0.015026666666666666,0.003986666666666667
QSAR,337.9563333333333,134.29307333333335,0.30218666666666666,1.8517266666666667,2.0978399999999997,0.005046666666666667,0.0036466666666666665
Arcene,5212.76802,353.70733333333334,0.33397333333333334,4.8974866666666665,1.6346866666666666,0.00684,0.0033866666666666667
