index,Total_missing_count,Total_models_trained,rows,cols,models_per_count,models_per_row,models_per_col
0.1,8790,2866,900,99,0.3260523321956769,3.1844444444444444,28.949494949494948
0.2,16913,7125,900,99,0.4212735765387572,7.916666666666667,71.96969696969697
0.3,23868,10690,900,99,0.4478800067035361,11.877777777777778,107.97979797979798
0.4,29684,12356,900,99,0.4162511790863765,13.72888888888889,124.8080808080808
0.5,34285,12544,900,99,0.3658742890476885,13.937777777777777,126.70707070707071
