,model,R2,Pearson_r,RMSE,MAE,n_imputed,missingness_prop,dataset,missingness
3,knn,0.4035194863646886,0.5847948505169034,0.1908596740218919,0.1199846005454835,90.04040404040404,0.1,arcene,mcar
4,sudoku,0.4819759286274775,0.6314000925286506,0.1846057910999529,0.1197296084138103,90.04040404040404,0.1,arcene,mcar
5,mice,0.553904362526546,0.6369255638106497,0.1739154624005959,0.1161916574640128,90.04040404040404,0.1,arcene,mcar
6,factorization,0.4776770750223283,0.6169383802206128,0.1836624026125665,0.0895883550470537,90.04040404040404,0.1,arcene,mcar
7,missforest,0.4640872884443531,0.6386380176341862,0.1701736243831546,0.1140768604714787,90.04040404040404,0.1,arcene,mcar
8,factorization,0.4730323537841649,0.6072762867300359,0.1890654647637473,0.0970135864721854,179.67676767676767,0.2,arcene,mcar
9,mean,-0.0073206727990776,,0.2589006991606619,0.1900881018864578,179.67676767676767,0.2,arcene,mcar
10,softimpute,0.2817208516910678,0.4793984434029009,0.2257325710979233,0.1249456022589928,179.67676767676767,0.2,arcene,mcar
11,missforest,0.414174418245728,0.6228111811923694,0.1862137192398208,0.1223359402036755,179.67676767676767,0.2,arcene,mcar
12,mice,0.5034850704911619,0.6052923952486399,0.1813062628691444,0.124061310348735,179.67676767676767,0.2,arcene,mcar
13,sudoku,0.4703675554744738,0.6174407350201278,0.1898305822417607,0.121414163387332,179.67676767676767,0.2,arcene,mcar
14,knn,0.3842868223415012,0.5802159939749204,0.2037768300998824,0.1292157866732351,179.67676767676767,0.2,arcene,mcar
15,median,-0.1722604525148703,,0.2779942792262445,0.1467455287746123,179.67676767676767,0.2,arcene,mcar
16,sudoku,0.4385739170552293,0.5977543699174678,0.2005991463098311,0.1294984690395705,269.8989898989899,0.3,arcene,mcar
17,median,-0.1710530242207109,,0.2844095067991076,0.1501070159787805,269.8989898989899,0.3,arcene,mcar
18,mice,0.4804973306881879,0.5942209040088077,0.1913157140036596,0.131358963049249,269.8989898989899,0.3,arcene,mcar
19,factorization,0.46832714837422,0.5971308986356136,0.2000843802611095,0.1030501657457282,269.8989898989899,0.3,arcene,mcar
20,knn,0.3862478337357953,0.5634109888458009,0.2196500823791364,0.1373982618209471,269.8989898989899,0.3,arcene,mcar
