,RMSE,MAE,R2,Pearson_r,runtime_seconds,method,prioritization_mode,partner_proportion,edge_threshold_rule,edge_threshold_value,alpha,beta,model_func,max_rounds
HP0073,0.6752826376149613,0.670638847938276,-9.517581675802072,,0.6656,eigenvector,centrality,0.08,,,1.0,1.0,LinearRegression,1
HP0025,0.6752826376149613,0.670638847938276,-9.517581675802072,,10.7639,degree,utility,0.15,,,1.0,1.0,LinearRegression,1
HP0063,0.6752826376149613,0.670638847938276,-9.517581675802072,,10.4309,betweenness,utility,0.15,,,1.5,0.5,LinearRegression,1
HP0010,0.6752826376149613,0.670638847938276,-9.517581675802072,,0.5822,degree,centrality,0.15,p85,0.6470584285612526,1.0,1.0,LinearRegression,1
HP0102,0.6752826376149613,0.670638847938276,-9.517581675802072,,11.104,eigenvector,utility,0.15,p85,0.5346578643468083,1.5,0.5,LinearRegression,1
HP0060,0.6752826376149613,0.670638847938276,-9.517581675802072,,10.499,betweenness,utility,0.08,p85,0.5346578643468083,1.5,0.5,LinearRegression,1
HP0022,0.6752826376149613,0.670638847938276,-9.517581675802072,,10.7673,degree,utility,0.08,p85,0.6470584285612526,1.0,1.0,LinearRegression,1
HP0055,0.6752826376149613,0.670638847938276,-9.517581675802072,,10.8733,betweenness,utility,0.08,,,1.0,1.0,LinearRegression,1
HP0094,0.6752826376149613,0.670638847938276,-9.517581675802072,,11.0862,eigenvector,utility,0.08,p85,0.6470584285612526,1.0,1.0,LinearRegression,1
HP0019,0.6752826376149613,0.670638847938276,-9.517581675802072,,11.1072,degree,utility,0.08,,,1.0,1.0,LinearRegression,1
HP0047,0.6752826376149613,0.670638847938276,-9.517581675802072,,0.5626,betweenness,centrality,0.15,p85,0.7657725751883976,0.5,1.5,LinearRegression,1
HP0037,0.6752826376149613,0.670638847938276,-9.517581675802072,,0.5729,betweenness,centrality,0.08,,,1.0,1.0,LinearRegression,1
HP0005,0.6752826376149613,0.670638847938276,-9.517581675802072,,0.5739,degree,centrality,0.08,p85,0.7657725751883976,0.5,1.5,LinearRegression,1
HP0075,0.6752826376149613,0.670638847938276,-9.517581675802072,,0.5829,eigenvector,centrality,0.08,,,1.5,0.5,LinearRegression,1
HP0042,0.6752826376149613,0.670638847938276,-9.517581675802072,,0.6002,betweenness,centrality,0.08,p85,0.5346578643468083,1.5,0.5,LinearRegression,1
HP0098,0.6752826376149613,0.670638847938276,-9.517581675802072,,10.8954,eigenvector,utility,0.15,,,0.5,1.5,LinearRegression,1
HP0091,0.6752826376149613,0.670638847938276,-9.517581675802072,,11.3299,eigenvector,utility,0.08,,,1.0,1.0,LinearRegression,1
HP0039,0.6752826376149613,0.670638847938276,-9.517581675802072,,0.5968,betweenness,centrality,0.08,,,1.5,0.5,LinearRegression,1
HP0081,0.6752826376149613,0.670638847938276,-9.517581675802072,,0.6686,eigenvector,centrality,0.15,,,1.5,0.5,LinearRegression,1
HP0003,0.6752826376149613,0.670638847938276,-9.517581675802072,,0.5762,degree,centrality,0.08,,,1.5,0.5,LinearRegression,1
HP0041,0.6752826376149613,0.670638847938276,-9.517581675802072,,0.6453,betweenness,centrality,0.08,p85,0.7657725751883976,0.5,1.5,LinearRegression,1
HP0084,0.6752826376149613,0.670638847938276,-9.517581675802072,,0.5739,eigenvector,centrality,0.15,p85,0.5346578643468083,1.5,0.5,LinearRegression,1
