column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
0,0.9167910788411359,0.95917994113524,0.08345327082465934,0.06176136248815897,82,82
1,-0.06319512940984384,0.1289237290235424,0.16183995260654788,0.1402182653968908,82,82
10,0.8011010034420174,0.8952453239177259,0.09463991181745172,0.06489800840357575,87,87
11,0.039301655076105835,0.4037171560314692,0.09485525953016614,0.051897929368174764,75,75
12,-0.10895958576238285,-0.07493608361333144,0.16872109572447072,0.13736132818077082,90,90
13,0.6555402209028043,0.8383733487502272,0.0571325328685284,0.04112222633468752,81,81
14,0.9159974781604217,0.9570887341063505,0.05065407240442607,0.03865432282506781,103,103
15,0.9312977490449332,0.9658390392574404,0.049193013992424685,0.03835247929738945,98,98
16,0.4302427245094119,0.719453479709475,0.07955114199755631,0.053069971619353506,89,89
17,-0.8346497990676864,-0.0008037632657480467,0.017590519875218907,0.010550948091893175,90,90
18,0.9478746762070683,0.973722088334978,0.05264564858090033,0.04165740626017631,94,94
19,0.11962431346830826,0.6136715873327091,0.05821030157930671,0.04301085254419677,79,79
2,0.8273863987002329,0.9118342413018985,0.1077091471578028,0.07852996241607359,92,92
20,-0.022267054399682573,0.10236050802838438,0.1210773104112472,0.0780398225931453,90,90
21,0.7537044928585428,0.868856440590039,0.08645062952372642,0.05501265130815632,95,95
22,-0.03963502994149137,0.09372194265355978,0.10224003433031431,0.07517832947699206,77,77
23,0.9289998762481836,0.9641520229896243,0.050338552864142315,0.03501382585996738,93,93
24,0.7919442399204493,0.9137801364962472,0.07052167907480737,0.053787580056467214,81,81
25,0.9395901258495866,0.9703406938142378,0.049730785385076706,0.039347438118649464,101,101
26,0.5829421303510977,0.7652972163969979,0.06689204653868559,0.04652230874391839,99,99
27,0.935063004059795,0.9679507044229715,0.05624464928471956,0.042809861654876616,105,105
28,0.8777981041199967,0.9376136578349057,0.05305524688381493,0.04094030193056746,88,88
29,0.8619878929833387,0.9289280307639163,0.08442084495051377,0.06110008155022784,100,100
3,0.8632797056958421,0.9298125960233143,0.08254011203166442,0.06363560874028974,76,76
30,-0.43489450824157005,-0.1407997708414286,0.211502635633973,0.1663515730594429,89,89
31,0.9361213750290734,0.9676750573005516,0.06974104671008648,0.055089028250397805,95,95
32,0.8909622329767959,0.9451206754101493,0.07854156853966382,0.059029019773696616,88,88
33,0.6782341184002441,0.8278204703692023,0.07029150971564252,0.04944237128356184,85,85
34,0.9100548511702765,0.954276269166012,0.06502223405068161,0.03971801228962063,101,101
35,0.8972251980442729,0.9474564303154958,0.05223427220935604,0.03248532446192797,88,88
36,-0.022169460832160537,0.09485487201718502,0.10393082062146633,0.05268391059729047,79,79
37,0.7270512753007203,0.8567349046982518,0.040217234444862145,0.02757490279538491,103,103
38,-0.04158767253792117,0.03085691738745953,0.13207026109755696,0.07536437700920467,83,83
39,0.89857270003484,0.9500351232650233,0.06751294012156984,0.05107064545918849,96,96
4,0.7774608327477633,0.888942277532058,0.09910923418550925,0.0691362145307432,104,104
40,0.6953601204366929,0.8490884845676114,0.059484003471826696,0.042213738795088086,91,91
41,-0.2952795489308546,0.10521020291317727,0.0506322102953814,0.03996774462416072,82,82
42,0.8526082131854927,0.9265863284814372,0.0814692507002943,0.06001247037171908,94,94
43,0.3152459205483389,0.6172440871642653,0.05879694173967783,0.03343546468850018,82,82
44,0.9729937547078052,0.9865317629963022,0.050306827872243956,0.03779612490236885,90,90
45,0.622083520197569,0.7965567506230251,0.10252842340543078,0.06922665070332021,99,99
46,0.9199208477941021,0.959324727522162,0.05770277364270404,0.039559685628026885,110,110
47,-0.22929007727625206,0.07628550690399793,0.07416757153688948,0.05784281852010132,93,93
48,0.864061998509192,0.9320401851045562,0.06320246755188663,0.04203537399762448,109,109
49,0.9147985899516301,0.9600344810365741,0.0585025004409663,0.04362126737814732,92,92
5,0.8946194439332635,0.9463947788091158,0.07440658402870003,0.05590835450219659,96,96
50,0.9680089420167262,0.9847717991230227,0.04098492978249872,0.023330929636692255,92,92
51,-0.044870429436680404,0.323933650768476,0.06277465172390542,0.03898904817664584,81,81
52,-0.2473620556414604,-0.14616890660242837,0.15484023432489122,0.13509067372300995,103,103
53,0.9545077796437186,0.97728613359695,0.06566796374347975,0.04883728941233812,94,94
54,0.2914450607332384,0.6418881939842784,0.063583225080876,0.04326741867636873,84,84
55,-0.029448969283689674,0.0880874788495813,0.14248285097366695,0.04183093787391183,76,76
