,RMSE,MAE,R2,Pearson_r,runtime_seconds,method,prioritization_mode,partner_proportion,edge_threshold_rule,edge_threshold_value,alpha,beta,model_func,max_rounds
HP0022,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.0734,degree,utility,0.08,p85,0.5356201225604671,1.0,1.0,LinearRegression,1
HP0060,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.0412,betweenness,utility,0.08,p85,0.4843196115852834,1.5,0.5,LinearRegression,1
HP0102,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.441,eigenvector,utility,0.15,p85,0.4843196115852834,1.5,0.5,LinearRegression,1
HP0010,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.1188,degree,centrality,0.15,p85,0.5356201225604671,1.0,1.0,LinearRegression,1
HP0063,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.061,betweenness,utility,0.15,,,1.5,0.5,LinearRegression,1
HP0055,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.239,betweenness,utility,0.08,,,1.0,1.0,LinearRegression,1
HP0039,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.7616,betweenness,centrality,0.08,,,1.5,0.5,LinearRegression,1
HP0091,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.3932,eigenvector,utility,0.08,,,1.0,1.0,LinearRegression,1
HP0009,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.7713,degree,centrality,0.15,,,1.5,0.5,LinearRegression,1
HP0084,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.0978,eigenvector,centrality,0.15,p85,0.4843196115852834,1.5,0.5,LinearRegression,1
HP0079,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.7266,eigenvector,centrality,0.15,,,1.0,1.0,LinearRegression,1
HP0027,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,44.8715,degree,utility,0.15,,,1.5,0.5,LinearRegression,1
HP0021,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.2524,degree,utility,0.08,,,1.5,0.5,LinearRegression,1
HP0082,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.1371,eigenvector,centrality,0.15,p85,0.5356201225604671,1.0,1.0,LinearRegression,1
HP0097,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.1858,eigenvector,utility,0.15,,,1.0,1.0,LinearRegression,1
HP0044,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.7492,betweenness,centrality,0.15,,,0.5,1.5,LinearRegression,1
HP0058,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.2721,betweenness,utility,0.08,p85,0.5356201225604671,1.0,1.0,LinearRegression,1
HP0028,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.1807,degree,utility,0.15,p85,0.5356201225604671,1.0,1.0,LinearRegression,1
HP0076,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.1191,eigenvector,centrality,0.08,p85,0.5356201225604671,1.0,1.0,LinearRegression,1
HP0002,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.8055,degree,centrality,0.08,,,0.5,1.5,LinearRegression,1
HP0006,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.2785,degree,centrality,0.08,p85,0.4843196115852834,1.5,0.5,LinearRegression,1
HP0003,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.7457,degree,centrality,0.08,,,1.5,0.5,LinearRegression,1
HP0038,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.8037,betweenness,centrality,0.08,,,0.5,1.5,LinearRegression,1
HP0065,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.3405,betweenness,utility,0.15,p85,0.5974633233186858,0.5,1.5,LinearRegression,1
HP0085,0.043368893721975804,0.0033422094524611767,-394.3214762685681,0.17296574295286035,6.2478,eigenvector,centrality,0.25,,,1.0,1.0,LinearRegression,1
HP0034,0.046181322533935525,0.0034190977656870566,-450.3046278738525,0.08553694799945027,48.3601,degree,utility,0.25,p85,0.5356201225604671,1.0,1.0,LinearRegression,1
HP0032,0.046181322533935525,0.0034190977656870566,-450.3046278738525,0.08553694799945027,48.4471,degree,utility,0.25,,,0.5,1.5,LinearRegression,1
HP0107,0.046181322533935525,0.0034190977656870566,-450.3046278738525,0.08553694799945027,48.9625,eigenvector,utility,0.25,p85,0.5974633233186858,0.5,1.5,LinearRegression,1
HP0035,0.046181322533935525,0.0034190977656870566,-450.3046278738525,0.08553694799945027,48.8201,degree,utility,0.25,p85,0.5974633233186858,0.5,1.5,LinearRegression,1
HP0036,0.046181322533935525,0.0034190977656870566,-450.3046278738525,0.08553694799945027,50.7694,degree,utility,0.25,p85,0.4843196115852834,1.5,0.5,LinearRegression,1
HP0068,0.046181322533935525,0.0034190977656870566,-450.3046278738525,0.08553694799945027,48.8787,betweenness,utility,0.25,,,0.5,1.5,LinearRegression,1
HP0070,0.046181322533935525,0.0034190977656870566,-450.3046278738525,0.08553694799945027,49.1338,betweenness,utility,0.25,p85,0.5356201225604671,1.0,1.0,LinearRegression,1
